,Total Change
pokemongo_bot/plugins/.keep,2
pokemongo_bot/test/resources/plugin_fixture_test.zip,0
pokemongo_bot/test/resources/plugin_sha/.sha,3
pokemongo_bot/test/resources/test-pgo-plugin-2d54eddde33061be9b329efae0cfb9bd58842655.zip,0
LICENSE,2710
pokemongo_bot/test/resources/__init__.py,0
pokemongo_bot/test/resources/plugin_fixture/fake_task.py,16
pokemongo_bot/test/resources/plugin_fixture/unsupported_api_task.py,14
tests/base_task_test.py,47
tests/update_title_stats_test.py,376
config.json.example,274
configs/path.example.json,26
pokemongo_bot/cell_workers/base_task.py,60
pokemongo_bot/cell_workers/evolve_all_worker.py,799
pokemongo_bot/cell_workers/initial_transfer_worker.py,340
pokemongo_bot/cell_workers/move_to_fort_worker.py,460
pokemongo_bot/cell_workers/seen_fort_worker.py,1857
pokemongo_bot/event_handlers/socketio_handler.py,106
pokemongo_bot/lcd.py,1277
pokemongo_bot/logger.py,356
pokemongo_bot/polyline_stepper.py,228
pokemongo_bot/socketio_server/__init__.py,0
pokemongo_bot/stepper.py,1638
pokemongo_bot/test/__init__.py,0
pokemongo_bot/test/resources/example_forts.pickle,2830
release_config.json.example,694
travis-pythoncheck.py,144
pokemon_spawn_locations.json,9
pokemongo_bot/cell_workers/evolve_all.py,350
pokemongo_bot/test/base_task_test.py,43
pokemongo_bot/test/tree_config_builder_test.py,100
pokemongo_bot/navigators/__init__.py,4
pokemongo_bot/navigators/path_navigator.py,100
pokemongo_bot/cell_workers/pokemon_transfer.py,2
pokemongo_bot/cell_workers/seen_fort.py,2
pokemongo_bot/cell_workers/soft_ban.py,6
pokemongo_bot/cell_workers/incubate_eggs_worker.py,813
pokemongo_bot/navigators/spiral_navigator.py,7
pokemongo_bot/spiral_navigator.py,350
pokemongo_bot/cell_workers/soft_ban_worker.py,69
pokemongo_bot/cell_workers/pokemon_transfer_worker.py,410
pokemongo_bot/cell_workers/catch_lured_pokemon_worker.py,101
pokemongo_bot/cell_workers/catch_visible_pokemon_worker.py,127
pokemongo_bot/cell_workers/recycle_items_worker.py,69
pokemongo_bot/cell_workers/spiral_navigator.py,28
pokemongo_bot/cell_workers/spin_nearest_fort_worker.py,218
configs/config.json.pokemons.example,1100
pokemongo_bot/cell_workers/catch_visible_pokmeon_worker.py,65
pokemongo_bot/polyline_walker/polyline_tester.py,26
pokemongo_bot/polyline_walker/polyline_walker.py,105
configs/release_config.json.example,174
pokemongo_bot/polyline_walker/__init__.py,1
polyline/polyline_tester.py.bak,18
polyline/polyline_walker.py.bak,93
web/image/forts/Instinct.png,0
web/image/forts/Mystic.png,0
web/image/forts/TeamLess.png,0
web/image/forts/Valor.png,0
web/image/forts/hint_gym.png,0
web/image/forts/img_pokestop.png,0
web/image/forts/pokestop_near.png,0
web/image/items/0.png,0
web/image/items/1.png,0
web/image/items/1001.png,0
web/image/items/1002.png,0
web/image/items/101.png,0
web/image/items/102.png,0
web/image/items/103.png,0
web/image/items/104.png,0
web/image/items/2.png,0
web/image/items/201.png,0
web/image/items/202.png,0
web/image/items/3.png,0
web/image/items/301.png,0
web/image/items/4.png,0
web/image/items/401.png,0
web/image/items/402.png,0
web/image/items/501.png,0
web/image/items/701.png,0
web/image/items/702.png,0
web/image/items/703.png,0
web/image/items/704.png,0
web/image/items/705.png,0
web/image/items/801.png,0
web/image/items/901.png,0
web/image/items/902.png,0
web/image/items/Egg.png,0
web/image/items/EggIncubator.png,0
web/image/items/EggIncubatorUnlimited.png,0
web/image/items/Item_COIN_01.png,0
web/image/items/stardust_painted.png,0
web/image/pokemon/001.gif,0
web/image/pokemon/001.png,0
web/image/pokemon/002.gif,0
web/image/pokemon/002.png,0
web/image/pokemon/003.gif,0
web/image/pokemon/003.png,0
web/image/pokemon/004.gif,0
web/image/pokemon/004.png,0
web/image/pokemon/005.gif,0
web/image/pokemon/005.png,0
web/image/pokemon/006.gif,0
web/image/pokemon/006.png,0
web/image/pokemon/007.gif,0
web/image/pokemon/007.png,0
web/image/pokemon/008.gif,0
web/image/pokemon/008.png,0
web/image/pokemon/009.gif,0
web/image/pokemon/009.png,0
web/image/pokemon/010.gif,0
web/image/pokemon/010.png,0
web/image/pokemon/011.gif,0
web/image/pokemon/011.png,0
web/image/pokemon/012.gif,0
web/image/pokemon/012.png,0
web/image/pokemon/013.gif,0
web/image/pokemon/013.png,0
web/image/pokemon/014.gif,0
web/image/pokemon/014.png,0
web/image/pokemon/015.gif,0
web/image/pokemon/015.png,0
web/image/pokemon/016.gif,0
web/image/pokemon/016.png,0
web/image/pokemon/017.gif,0
web/image/pokemon/017.png,0
web/image/pokemon/018.gif,0
web/image/pokemon/018.png,0
web/image/pokemon/019.gif,0
web/image/pokemon/019.png,0
web/image/pokemon/020.gif,0
web/image/pokemon/020.png,0
web/image/pokemon/021.gif,0
web/image/pokemon/021.png,0
web/image/pokemon/022.gif,0
web/image/pokemon/022.png,0
web/image/pokemon/023.gif,0
web/image/pokemon/023.png,0
web/image/pokemon/024.gif,0
web/image/pokemon/024.png,0
web/image/pokemon/025.gif,0
web/image/pokemon/025.png,0
web/image/pokemon/026.gif,0
web/image/pokemon/026.png,0
web/image/pokemon/027.gif,0
web/image/pokemon/027.png,0
web/image/pokemon/028.gif,0
web/image/pokemon/028.png,0
web/image/pokemon/029.gif,0
web/image/pokemon/029.png,0
web/image/pokemon/030.gif,0
web/image/pokemon/030.png,0
web/image/pokemon/031.gif,0
web/image/pokemon/031.png,0
web/image/pokemon/032.gif,0
web/image/pokemon/032.png,0
web/image/pokemon/033.gif,0
web/image/pokemon/033.png,0
web/image/pokemon/034.gif,0
web/image/pokemon/034.png,0
web/image/pokemon/035.gif,0
web/image/pokemon/035.png,0
web/image/pokemon/036.gif,0
web/image/pokemon/036.png,0
web/image/pokemon/037.gif,0
web/image/pokemon/037.png,0
web/image/pokemon/038.gif,0
web/image/pokemon/038.png,0
web/image/pokemon/039.gif,0
web/image/pokemon/039.png,0
web/image/pokemon/040.gif,0
web/image/pokemon/040.png,0
web/image/pokemon/041.gif,0
web/image/pokemon/041.png,0
web/image/pokemon/042.gif,0
web/image/pokemon/042.png,0
web/image/pokemon/043.gif,0
web/image/pokemon/043.png,0
web/image/pokemon/044.gif,0
web/image/pokemon/044.png,0
web/image/pokemon/045.gif,0
web/image/pokemon/045.png,0
web/image/pokemon/046.gif,0
web/image/pokemon/046.png,0
web/image/pokemon/047.gif,0
web/image/pokemon/047.png,0
web/image/pokemon/048.gif,0
web/image/pokemon/048.png,0
web/image/pokemon/049.gif,0
web/image/pokemon/049.png,0
web/image/pokemon/050.gif,0
web/image/pokemon/050.png,0
web/image/pokemon/051.gif,0
web/image/pokemon/051.png,0
web/image/pokemon/052.gif,0
web/image/pokemon/052.png,0
web/image/pokemon/053.gif,0
web/image/pokemon/053.png,0
web/image/pokemon/054.gif,0
web/image/pokemon/054.png,0
